Date UTC,Tube #,CTD cast,Niskin,depth,comments.sampling,drop.sample,field.negative.type,extraction,comments.extraction,qubit.ng.ul,water.filtered.L,elution (ul),Fluor,Zymo columns
7/6/19,172,29-6,7,100,ST,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.04238,
7/6/19,173,29-6,8,100,,,,1/13/20,Extraction batch 169-184.,,2.5,100,0.04238,
7/6/19,174,29-6,9,50,,,,1/13/20,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 169-184.,,2.5,100,1.48859,Yes
7/6/19,175,29-6,10,50,,,,1/13/20,Extraction batch 169-184.,,2.5,100,1.48859,Yes
7/6/19,176,29-6,sfc,sfc,,,,1/13/20,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 169-184.,,2.5,100,4.01056,Yes
7/6/19,177,29-6,sfc,sfc,took longer to filter,,,1/13/20,Extraction batch 169-184.,,2.5,100,4.01056,Yes
7/7/19,178,31-9,1,500,,,,1/13/20,No vis pellet. Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 169-184.,,2.5,100,0.01086,
7/7/19,179,31-9,2,500,,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.01086,
7/7/19,180,31-9,3,300,,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,-0.0022,
7/7/19,181,31-9,4,300,~1.6 L,,,1/13/20,No vis pellet. Extraction batch 169-184.,,1.6,100,-0.0022,
7/7/19,182,31-9,5,150,,,,1/13/20,No vis pellet. Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 169-184.,,2.5,100,0.00626,
7/7/19,183,31-9,6,150,,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.00626,
7/7/19,184,31-9,7,100,,,,1/13/20,Extraction batch 169-184.,,2.5,100,0.89654,
7/7/19,185,31-9,8,100,,,,1/13/20,Extraction batch 185-200,,2.5,100,0.89654,Yes
7/7/19,186,31-9,9,50,,,,1/13/20,Extraction batch 185-200,,2.5,100,3.13317,Yes
7/7/19,187,31-9,10,50,,,,1/13/20,Extraction batch 185-200,,2.5,100,3.13317,Yes
7/7/19,188,31-9,sfc,sfc,,,,1/13/20,Extraction batch 185-200,,2.5,100,2.47901,Yes
7/7/19,189,31-9,sfc,sfc,,,,1/13/20,Extraction batch 185-200,,2.5,100,2.47901,Yes
7/7/19,190,31-7,1,500,,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.01354,
7/7/19,191,31-7,2,500,,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.01354,
7/7/19,192,31-7,3,300,,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.00237,
7/7/19,193,31-7,4,300,,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,0.00237,
7/7/19,194,31-7,5,150,,,,1/13/20,No vis pellet. Extraction batch 169-184.,,2.5,100,#######,
7/7/19,195,31-7,6,150,,,,1/13/20,No vis pellet. Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 185-200,,2.5,100,#######,
7/7/19,196,31-7,7,100,,,,1/13/20,No vis pellet. Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 185-201,,2.5,100,0.01063,
7/7/19,197,31-7,8,100,,,,1/13/20,No vis pellet. Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 185-202,,2.5,100,0.01063,
7/7/19,198,31-7,9,50,,,,1/13/20,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 185-200,,2.5,100,2.47956,Yes
7/7/19,199,31-7,10,50,,,,1/13/20,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 185-200,,2.5,100,2.47956,Yes
7/7/19,200,31-7,sfc,sfc,,,,1/13/20,"Pellet not dried by departure time on 1/14/2020, capped, and stored in fridge overnight, resumed air drying in 1/15/19 morning. Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 185-200",,2.5,100,2.14656,Yes
7/7/19,201,31-7,sfc,sfc,,,,1/13/20,"Pellet not dried by departure time on 1/14/2020, capped, and stored in fridge overnight, resumed air drying in 1/15/19 morning. Extraction batch 201-215 plus neg  neg overnight in firdge and continued drying 1/15/2020)..",,2.5,100,2.14656,Yes
7/7/19,202,31-4,1,494,ST,,,1/13/20,No vis pellet. Not all of aquesous layer succesfully transfered between chloroform steps. Extraction batch 201-215 plus neg   neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.01536,
7/7/19,203,31-4,2,494,ST,,,1/13/20,No vis pellet. Extraction batch 201-215 plus neg ( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.01536,
7/7/19,204,31-4,3,300,ST,,,1/13/20,No vis pellet. Extraction batch 201-215 plus neg ( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.01047,
7/7/19,205,31-4,4,300,ST,,,1/13/20,No vis pellet. Extraction batch 201-215 plus neg. neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.01047,
7/7/19,206,31-4,5,150,ST,,,1/13/20,No vis pellet. Extraction batch 201-215 plus neg ( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.00915,
7/7/19,207,31-4,6,150,ST,,,1/13/20,No vis pellet. Extraction batch 201-215 plus neg.( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.00915,
7/7/19,208,31-4,7,100,,,,1/13/20,No vis pellet. Extraction batch 201-215 plus neg.( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.04101,
7/7/19,209,31-4,8,100,,,,1/13/20,No vis pellet. Extraction batch 201-215 plus neg.( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.04101,
7/7/19,210,31-4,9,50,,,,1/13/20,Phenol step pippeted due to presence of brown gunk on aqueous side of grease. Extraction batch 201-215 plus neg.( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.19303,
7/7/19,211,31-4,10,50,,,,1/13/20,Extraction batch 201-215 plus neg.( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.19303,
7/7/19,212,31-4,sfc,sfc,,,,1/13/20,Extraction batch 201-215 plus neg.( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,10.4558,Yes
7/7/19,213,31-4,sfc,sfc,,,,1/13/20,Extraction batch 201-215 plus neg.( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,10.4558,Yes
7/7/19,214,-,-,-,"DI water from bucket pre use, ~2L",,Lab.DI,1/13/20,No vis pellet. Extraction batch 201-215 plus neg.( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,,
7/7/19,215,31-2,1,146,,,,1/13/20,No vis pellet. Extraction batch 201-215 plus neg.( neg overnight in firdge and continued drying 1/15/2020)..,,2.5,100,0.01106,
7/7/19,216,31-2,2,146,,,,1/15/20,No vis pellet. Ext batch 216-224 plus neg.,,2.5,100,0.01106,
7/7/19,217,31-2,3,100,,,,1/15/20,No vis pellet. Ext batch 216-224 plus neg.,,2.5,100,0.0375,
7/7/19,218,31-2,4,100,ST,,,1/15/20,Ext batch 216-224 plus neg.,,2.5,100,0.0375,
7/7/19,219,31-2,5,50,ST,,,1/15/20,Ext batch 216-224 plus neg.,,2.5,100,0.20151,
7/7/19,220,31-2,6,50,ST,,,1/15/20,Ext batch 216-224 plus neg.,,2.5,100,0.20151,
7/7/19,221,31-2,sfc,sfc,,,,1/15/20,Ext batch 216-224 plus neg.,,2.5,100,9.62193,Yes
7/7/19,222,31-2,sfc,sfc,,,,1/15/20,Ext batch 216-224 plus neg.,,2.5,100,9.62193,Yes
7/7/19,223,31-1,1,25,,,,1/15/20,Dark pellet. Ext batch 216-224 plus neg.,,2.5,100,0.96127,
7/7/19,224,31-1,2,25,,,,1/15/20,Dark pellet. Ext batch 216-224 plus neg.,,2.5,100,0.96127,
7/7/19,225,31-1,sfc,sfc,,,,1/21/20,"Dark pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,1.6884,Yes
7/7/19,226,31-1,sfc,sfc,,,,1/21/20,"Dark pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,1.6884,Yes
7/8/19,227,33-9,1,500,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.01193,
7/8/19,228,33-9,2,500,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.01193,
7/8/19,229,33-9,3,300,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.00791,
7/8/19,230,33-9,4,300,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.00791,
7/8/19,231,33-9,5,150,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.00267,
7/8/19,232,33-9,6,150,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.00267,
7/8/19,233,33-9,7,100,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,-0.0017,
7/8/19,234,33-9,8,100,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,-0.0017,
7/8/19,235,33-9,9,50,,,,1/21/20,"Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.20772,
7/8/19,236,33-9,10,50,,,,1/21/20,"Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.20772,
7/8/19,237,33-9,sfc,sfc,,,,1/21/20,"Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.63256,Yes
7/8/19,238,33-9,sfc,sfc,,,,1/21/20,"Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.63256,Yes
7/8/19,239,33-5,1,500,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.01282,
7/8/19,240,33-5,2,500,,,,1/21/20,"No vis pellet. Ext batch 225-240, ext neg for day not in this batch.",,2.5,100,0.01282,
7/8/19,241,33-5,3,300,,,,1/21/20,"No vis pellet. Ext batch 241-255, plus neg. ",,2.5,100,0.00674,
7/8/19,242,33-5,4,300,,,,1/21/20,"No vis pellet. Ext batch 241-255, plus neg. ",,2.5,100,0.00674,
7/8/19,243,33-5,5,150,ST,,,1/21/20,"No vis pellet. Ext batch 241-255, plus neg. ",,2.5,100,0.01474,
7/8/19,244,33-5,6,150,ST,,,1/21/20,"No vis pellet. Ext batch 241-255, plus neg. ",,2.5,100,0.01474,
7/8/19,245,33-5,7,100,ST,,,1/21/20,"Ext batch 241-255, plus neg. ",,2.5,100,0.02135,
7/8/19,246,33-5,8,100,ST,,,1/21/20,"Ext batch 241-255, plus neg. ",,2.5,100,0.02135,
7/8/19,247,33-5,9,50,,,,1/21/20,"Ext batch 241-255, plus neg. ",,2.5,100,2.51035,Yes
7/8/19,248,33-5,10,50,,,,1/21/20,"Ext batch 241-255, plus neg. ",,2.5,100,2.51035,
7/8/19,249,33-5,sfc,sfc,,,,1/21/20,"Ext batch 241-255, plus neg. ",,2.5,100,4.3844,Yes
7/8/19,250,33-5,sfc,sfc,,,,1/21/20,"Ext batch 241-255, plus neg. ",,2.5,100,4.3844,Yes
7/8/19,251,33-4,1,467,,,,1/21/20,"No vis pellet. Ext batch 241-255, plus neg. ",,2.5,100,0.02174,
7/8/19,252,33-4,2,467,,,,1/21/20,"No vis pellet. Ext batch 241-255, plus neg. ",,2.5,100,0.02174,
7/8/19,253,33-4,3,300,,,,1/21/20,"No vis pellet. Ext batch 241-255, plus neg. ",,2.5,100,0.01044,
7/8/19,254,33-4,4,300,,,,1/21/20,"No vis pellet. Ext batch 241-255, plus neg. ",,2.5,100,0.01044,
7/8/19,255,33-4,5,150,,,,1/21/20,"No vis pellet. Ext batch 241-255, plus neg. ",,2.5,100,0.00718,
7/8/19,256,33-4,6,150,ST,,,1/22/20,"No vis pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.00718,
7/8/19,257,33-4,7,100,ST,,,1/22/20,"No vis pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.02132,
7/8/19,258,33-4,8,100,ST,,,1/22/20,"No vis pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.02132,
7/8/19,259,33-4,9,50,ST,,,1/22/20,"Dark pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.18234,
7/8/19,260,33-4,10,50,ST,,,1/22/20,"Dark pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.18234,
7/8/19,261,33-4,sfc,sfc,,,,1/22/20,"Ext batch 256-271, neg for day not in this batch. ",,2.5,100,13.704,Yes
7/8/19,262,33-4,sfc,sfc,,,,1/22/20,"Ext batch 256-271, neg for day not in this batch. ",,2.5,100,13.704,Yes
7/8/19,263,33-2,1,137,,,,1/22/20,"Dark pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.01771,
7/8/19,264,33-2,2,137,,,,1/22/20,"No vis pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.01771,
7/8/19,265,33-2,3,100,,,,1/22/20,"No vis pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.03311,
7/8/19,266,33-2,4,100,ST,,,1/22/20,"Dark pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.03311,
7/8/19,267,33-2,5,50,ST,,,1/22/20,"Dark pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.04218,
7/8/19,268,33-2,6,50,ST,,,1/22/20,"No vis pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.04218,
7/8/19,269,33-2,sfc,sfc,,,,1/22/20,"Ext batch 256-271, neg for day not in this batch. ",,2.5,100,6.87277,
7/8/19,270,33-2,sfc,sfc,,,,1/22/20,"Ext batch 256-271, neg for day not in this batch. ",,2.5,100,6.87277,
7/8/19,271,33-1,1,50,,,,1/22/20,"Dark pellet. Ext batch 256-271, neg for day not in this batch. ",,2.5,100,0.15295,
7/8/19,272,33-1,2,50,,,,1/22/20,"Dark pellet.Ext batch 273-278, 288-295, plus neg. ",,2.5,100,0.15295,
7/8/19,273,33-1,3,25,,,,1/22/20,"Dark pellet.Ext batch 273-278, 288-295, plus neg. ",,2.5,100,1.50098,
7/8/19,274,33-1,4,25,,,,1/22/20,"Dark pellet.Ext batch 273-278, 288-295, plus neg. ",,2.5,100,1.50098,
7/8/19,275,33-1,5,sfc,,,,1/22/20,"Sample tube was very brown, color passed through all clean steps leading to yellow/brown isopropanol step. Ext batch 273-278, 288-295, plus neg. ",,2.5,100,16.8433,Yes
7/8/19,276,33-1,6,sfc,,,,1/22/20,"Sample tube was very brown, color passed through all clean steps leading to yellow/brown isopropanol step. Ext batch 273-278, 288-295, plus neg. ",,2.5,100,16.8433,Yes
7/8/19,277,33-1,sfc,sfc,,,,1/22/20,"Sample tube was very brown, color passed through all clean steps leading to yellow/brown isopropanol step. Ext batch 273-278, 288-295, plus neg. ",,2.5,100,16.8433,Yes
7/8/19,278,33-1,sfc,sfc,,,,1/22/20,"Sample tube was very brown, color passed through all clean steps leading to yellow/brown isopropanol step. Ext batch 273-278, 288-295, plus neg. ",,2.5,100,16.8433,Yes
7/9/19,279,-,-,-,"DI water from bucket post use, ~2L",,Lab.DI,11/5/19,"Ext batch 273-278, 288-295, plus neg. ",0.221,2,100,,
7/9/19,280,-,-,-,"DI water from bucket, pre use, ~1.7L",,Lab.DI,11/5/19,"Ext batch 273-278, 288-295, plus neg. ",0,1.7,100,,
7/9/19,281,-,-,-,Lab DI water,,Lab.DI,11/5/19,"Ext batch 273-278, 288-295, plus neg. ",0.263,2.5,100,,
7/9/19,282,35-1,1,48,,,,11/5/19,"Ext batch 273-278, 288-295, plus neg. ",140,2.5,100,0.09139,
7/9/19,283,35-1,2,48,,,,11/5/19,"Ext batch 273-278, 288-295, plus neg. ",71.5,2.5,100,0.09139,
7/9/19,284,35-1,3,25,,,,11/5/19,big pellet,81,2.5,100,2.3781,
7/9/19,285,35-1,4,25,,,,11/5/19,big pellet,>60,2.5,100,2.3781,
7/9/19,286,35-1,sfc,sfc,,,,11/5/19,big pellet,377,2.5,100,9.36501,Yes
7/9/19,287,35-1,sfc,sfc,,,,11/5/19,big pellet,>60,2.5,100,9.36501,Yes
7/9/19,288,35-3,1,300,,,,1/22/20,"No vis pellet. Ext batch 273-278, 288-295, plus neg. ",,2.5,100,0.00892,
7/9/19,289,35-3,2,300,,,,1/22/20,"No vis pellet. Ext batch 273-278, 288-295, plus neg. ",,2.5,100,0.00892,
7/9/19,290,35-3,3,150,,,,1/22/20,"Ext batch 273-278, 288-295, plus neg. ",,2.5,100,0.01031,
7/9/19,291,35-3,4,150,,,,1/22/20,"Ext batch 273-278, 288-295, plus neg. ",,2.5,100,0.01031,
7/9/19,292,35-3,5,100,,,,1/22/20,"Ext batch 273-278, 288-295, plus neg. ",,2.5,100,0.01162,
7/9/19,293,35-3,6,100,,,,1/22/20,"Ext batch 273-278, 288-295, plus neg. ",,2.5,100,0.01162,
7/9/19,294,35-3,7,50,,,,1/22/20,"Ext batch 273-278, 288-295, plus neg. ",,2.5,100,2.31144,
7/9/19,295,35-3,8,50,,,,1/22/20,"Dropped on floor while drying. Ext batch 273-278, 288-295, plus neg. ",,2.5,100,2.31144,
7/9/19,296,35-3,sfc,sfc,,,,1/23/20,"Yellow pellet. Issues with steps, not all volume transferred from 1st chloroform step, no quantification, only metagenomics. Ext batch 296-311, neg for day in other batch. ",,2.5,100,10.6138,Yes
7/9/19,297,35-3,sfc,sfc,,,,1/23/20,"Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,10.6138,
7/9/19,298,35-5,1,500,,,,1/23/20,"No vis pellet. Chloroform step 2 grease failed, some chloro may have entered ISO. Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.01061,
7/9/19,299,35-5,2,500,,,,1/23/20,"No vis pellet.Pippieetted Chloroform 2 step. Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.01061,
7/9/19,300,35-5,3,300,,,,1/23/20,"no vis pellet.Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.00707,
7/9/19,301,35-5,4,300,ST,,,1/23/20,"No vis pellet. Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.00707,
7/9/19,302,35-5,5,150,ST,,,1/23/20,"Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.07369,
7/9/19,303,35-5,6,150,ST,,,1/23/20,"Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.07369,
7/9/19,304,35-5,7,100,ST,,,1/23/20,"Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.75032,
7/9/19,305,35-5,8,100,,,,1/23/20,"Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.75032,
7/9/19,306,35-5,9,50,,,,1/23/20,"Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.4127,
7/9/19,307,35-5,10,50,,,,1/23/20,"Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.4127,
7/9/19,308,35-5,sfc,sfc,,,,1/23/20,"Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,1.02238,Yes
7/9/19,309,35-5,sfc,sfc,,,,1/23/20,"Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,1.02238,Yes
7/9/19,310,35-7,1,500,,,,1/23/20,"No vis pellet. Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.01349,
7/9/19,311,35-7,2,500,,,,1/23/20,"No vis pellet. Ext batch 296-311, neg for day in other batch. Pipetter Chloroform step 1. ",,2.5,100,0.01349,
7/9/19,312,35-7,3,300,,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet.",,2.5,100,0.01259,
7/9/19,313,35-7,4,300,,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet.",,2.5,100,0.01259,
7/9/19,314,35-7,5,150,ST,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet.",,2.5,100,0.0214,
7/9/19,315,35-7,6,150,ST,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet.",,2.5,100,0.0214,
7/9/19,316,35-7,7,100,ST,,,1/23/20,"Ext batch 312-317, 322-330, neg. ",,2.5,100,0.18504,
7/9/19,317,35-7,8,100,ST,,,1/23/20,"Ext batch 312-317, 322-330, neg. ",,2.5,100,0.18504,
7/9/19,318,35-7,9,50,,,,11/5/19,,174,2.5,100,1.46624,Yes
7/9/19,319,35-7,10,50,,,,11/6/19,,204,2.5,100,1.46624,Yes
7/9/19,320,35-7,sfc,sfc,,,,11/6/19,,235,2.5,100,2.3009,Yes
7/9/19,321,35-7,sfc,sfc,,,,11/6/19,,196,2.5,100,2.3009,Yes
7/9/19,322,35-9,1,500,,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet. ",,2.5,100,0.0129,
7/9/19,323,35-9,2,500,,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet. ",,2.5,100,0.0129,
7/9/19,324,35-9,3,300,,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet. ",,2.5,100,0.00956,
7/9/19,325,35-9,4,300,ST,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet. ",,2.5,100,0.00956,
7/9/19,326,35-9,5,150,ST,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet. ",,2.5,100,0.04486,
7/9/19,327,35-9,6,150,ST,,,1/23/20,"Ext batch 312-317, 322-330, neg. No vis pellet. ",,2.5,100,0.04486,
7/9/19,328,35-9,7,100,ST,,,1/23/20,"Ext batch 312-317, 322-330, neg. ",,2.5,100,0.10145,
7/9/19,329,35-9,8,100,"ST, ~2L",,,1/23/20,"Ext batch 312-317, 322-330, neg. ",,2.5,100,0.10145,
7/9/19,330,35-9,9,50,,,,1/23/20,"Ext batch 312-317, 322-330, neg. ",,2.5,100,0.4844,
7/9/19,331,35-9,10,50,,,,1/27/20,"Ext batch 331-341,346-349, neg. ",,2.5,100,0.4844,
7/9/19,332,35-9,sfc,sfc,,,,1/27/20,"Ext batch 331-341,346-349, neg. ",,2.5,100,0.70944,Yes
7/9/19,333,35-9,sfc,sfc,,,,1/27/20,"Ext batch 331-341,346-349, neg. ",,2.5,100,0.70944,Yes
7/9/19,334,35-11,1,500,ST,,,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,0.00795,
7/9/19,335,35-11,2,500,ST,,,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,0.00795,
7/9/19,336,35-11,3,300,,,,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,0.0048,
7/9/19,337,35-11,4,300,ST,,,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,0.0048,
7/9/19,338,35-11,5,150,ST,,,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,-0.0089,
7/9/19,339,35-11,6,150,ST,,,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,-0.0089,
7/9/19,340,35-11,7,100,,,,1/27/20,"Ext batch 331-341,346-349, neg. ",,2.5,100,0.10619,
7/9/19,341,35-11,8,100,,,,1/27/20,"Ext batch 331-341,346-349, neg. ",,2.5,100,0.10619,
7/9/19,342,35-11,9,50,,,,11/6/19,,63.5,2.5,100,0.9537,
7/9/19,343,35-11,10,50,,,,11/6/19,,300,2.5,100,0.9537,
7/9/19,344,35-11,sfc,sfc,,,,11/6/19,,183,2.5,100,0.72785,Yes
7/9/19,345,35-11,sfc,sfc,,,,11/6/19,,186,2.5,100,0.72785,Yes
7/10/19,346,-,-,-,"Di water, from bucket post use, ~2L",,Lab.DI,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,,
7/10/19,347,-,-,-,"Evap DI water, ~2L",,Evap.DI,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,,
7/10/19,348,37-9,1,500,,,,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,0.02111,
7/10/19,349,37-9,2,500,,,,1/27/20,"Ext batch 331-341,346-349, neg. No vis pellet.",,2.5,100,0.02111,
7/10/19,350,37-9,3,300,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. No vis pellet. ",,2.5,100,0.01353,
7/10/19,351,37-9,4,300,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. No vis pellet. ",,2.5,100,0.01353,
7/10/19,352,37-9,5,150,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. No vis pellet. ",,2.5,100,0.04422,
7/10/19,353,37-9,6,150,ST,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. No vis pellet. ",,2.5,100,0.04422,
7/10/19,354,37-9,7,100,ST,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. ",,2.5,100,0.11768,
7/10/19,355,37-9,8,100,ST,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. ",,2.5,100,0.11768,
7/10/19,356,37-9,9,50,ST,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. ",,2.5,100,0.42895,Yes
7/10/19,357,37-9,10,50,ST,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. ",,2.5,100,0.42895,
7/10/19,358,37-9,sfc,sfc,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. ",,2.5,100,0.51647,Yes
7/10/19,359,37-9,sfc,sfc,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. ",,2.5,100,0.51647,Yes
7/10/19,360,37-7,1,500,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. No vis pellet. ",,2.5,100,0.01345,
7/10/19,361,37-7,2,500,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. No vis pellet. ",,2.5,100,0.01345,
7/10/19,362,37-7,3,300,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. No vis pellet. ",,2.5,100,0.01319,
7/10/19,363,37-7,4,300,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. No vis pellet. ",,2.5,100,0.01319,
7/10/19,364,37-7,5,150,,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. ",,2.5,100,0.05708,
7/10/19,365,37-7,6,150,ST,,,1/27/20,"Ext batch 350-365, neg for day in earlier batch. ",,2.5,100,0.05708,
7/10/19,366,37-7,7,100,ST,,,1/28/20,"Ext batch 366-381, neg for day in later batch. ",,2.5,100,0.20336,
7/10/19,367,37-7,8,100,ST,,,1/28/20,"Ext batch 366-381, neg for day in later batch. ",,2.5,100,0.20336,
7/10/19,368,37-7,9,50,ST,,,1/28/20,"Ext batch 366-381, neg for day in later batch. ",,2.5,100,0.2589,
7/10/19,369,37-7,10,50,,,,1/28/20,"Ext batch 366-381, neg for day in later batch. ",,2.5,100,0.2589,Yes
7/10/19,370,37-7,sfc,sfc,,,,1/28/20,"Ext batch 366-381, neg for day in later batch. ",,2.5,100,0.62872,Yes
7/10/19,371,37-7,sfc,sfc,,,,1/28/20,"Ext batch 366-381, neg for day in later batch. ",,2.5,100,0.62872,Yes
7/10/19,372,37-5,1,500,,,,1/28/20,"Ext batch 366-381, neg for day in later batch. No vis pellet. ",,2.5,100,0.0157,
